Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
9800,0,199500,1.0,66.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,260000,2.0,91.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,270000,2.0,91.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,199500,1.0,66.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
8434,0,240000,2.0,69.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,295000,2.0,97.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,295000,2.0,97.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,205000,1.0,66.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,270000,2.0,91.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,275000,2.0,91.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,205000,1.0,66.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,350000,2.0,97.0,0,0.0,1.0,20.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,340000,2.0,97.0,0,0.0,1.0,20.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
9800,0,280000,2.0,91.0,0,0.0,1.0,8.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
4020,0,375000,3.0,214.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,0.0,1.0,1.0
5300,1,440000,3.0,195.0,0,0.0,1.0,30.0,1.0,515.0,870.0,4.0,0,1.0,5.0,1.0
4020,1,460000,5.0,328.0,0,0.0,0.0,0.0,0.0,0.0,1440.0,4.0,0,1.0,5.0,1.0
3020,0,775000,2.0,258.0,1,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
1000,0,479000,3.0,126.0,0,0.0,1.0,27.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,2.0
9900,0,235000,1.0,78.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
1330,1,499000,6.0,185.0,0,0.0,1.0,21.0,1.0,206.0,302.0,4.0,0,1.0,1.0,1.0
4367,0,349000,3.0,153.0,0,0.0,1.0,11.0,1.0,500.0,2757.377881205674,3.0,0,1.0,5.0,1.0
1090,0,489000,3.0,156.0,0,0.0,1.0,6.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
1200,0,805000,3.0,171.0,0,0.0,1.0,16.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
1050,0,880000,3.0,119.0,0,0.0,1.0,28.0,0.0,0.0,2757.377881205674,3.0,0,1.0,5.0,2.0
1000,0,990000,2.0,217.0,0,0.0,1.0,36.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,2.0
2000,0,115000,1.0,16.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
9200,0,199500,1.0,87.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,3.0,0,1.0,3.0,3.0
9800,0,285000,2.0,91.0,0,0.0,1.0,5.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
8670,1,875000,3.0,143.0,1,1.0,1.0,18.028500959166895,1.0,402.07499802011563,915.0,2.976151101053181,0,1.0,3.382284797718767,3.0
8300,0,695000,2.0,56.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
2500,0,451000,3.0,140.0,0,0.0,1.0,9.0,1.0,35.0,2757.377881205674,2.0,0,1.0,3.382284797718767,3.0
2500,0,335000,2.0,92.0,0,0.0,1.0,12.0,1.0,402.07499802011563,2757.377881205674,2.0,0,1.0,3.382284797718767,3.0
2440,0,228000,2.0,92.0,0,0.0,1.0,30.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
9320,1,399000,3.0,170.0,0,0.0,1.0,18.028500959166895,0.0,0.0,388.0,2.976151101053181,0,1.0,3.382284797718767,3.0
9420,1,389000,5.0,206.0,0,0.0,1.0,18.028500959166895,0.0,0.0,549.0,2.976151101053181,0,1.0,5.0,3.0
2800,0,285000,3.0,108.0,0,0.0,1.0,6.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
3190,0,225000,1.0,54.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.382284797718767,3.0
8370,0,210000,2.0,80.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
8620,0,299000,2.0,43.0,1,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
8620,0,599000,2.0,120.0,0,0.0,1.0,15.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
8570,0,192500,3.0,117.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
9900,1,289000,2.0,100.0,0,0.0,0.0,0.0,1.0,402.07499802011563,497.0,3.0,0,1.0,1.0,3.0
2220,1,445000,4.0,183.0,0,0.0,1.0,18.028500959166895,1.0,402.07499802011563,406.0,3.0,0,1.0,3.382284797718767,3.0
2220,1,417000,4.0,183.0,0,0.0,1.0,18.028500959166895,1.0,402.07499802011563,310.0,2.0,0,1.0,3.382284797718767,3.0
8980,0,228000,2.0,91.0,0,0.0,1.0,13.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,3.382284797718767,3.0
5540,1,89000,2.0,52.0,0,0.0,1.0,18.0,0.0,0.0,2757.377881205674,4.0,0,1.0,3.0,1.0
1820,1,425000,3.0,140.0,0,0.0,1.0,24.0,1.0,260.0,800.0,4.0,0,1.0,1.0,3.0
3090,1,710000,5.0,260.0,0,0.0,1.0,18.028500959166895,1.0,557.0,675.0,4.0,0,1.0,1.0,3.0
1410,1,695000,5.0,252.0,0,1.0,1.0,40.0,1.0,450.0,786.0,4.0,0,1.0,1.0,1.0
1050,0,650000,2.0,105.0,0,0.0,1.0,13.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,2.0
2060,0,139000,1.0,30.0,0,0.0,1.0,6.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
5537,1,179000,2.0,93.0,0,0.0,0.0,0.0,1.0,402.07499802011563,1517.0,4.0,0,1.0,3.0,1.0
1000,0,185000,1.0,37.0,1,0.0,1.0,3.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,2.0
1410,0,195000,1.0,47.0,0,0.0,1.0,23.0,0.0,0.0,2757.377881205674,2.0,0,0.0,1.0,1.0
4357,0,195000,3.0,190.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,3.0,0,1.0,3.0,1.0
9881,1,225000,3.0,123.0,0,1.0,1.0,18.028500959166895,1.0,402.07499802011563,497.0,3.0,0,0.9500049014802471,2.0,3.0
9800,0,183380,2.0,80.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.0,0,1.0,1.0,3.0
9031,1,409986,3.0,160.0,0,0.0,1.0,25.0,1.0,95.0,201.0,3.0,0,1.0,3.382284797718767,3.0
9031,1,383650,3.0,143.0,0,0.0,1.0,24.0,1.0,95.0,197.0,2.0,0,1.0,3.382284797718767,3.0
